,Campaign,Referer,AOL Preroll MTD,AOL Content MTD,AOL Performance MTD,Keen Preroll MTD,Keen Content MTD,Keen Performance MTD,Variance Preroll MTD,Variance Content MTD,AOL Preroll YEST,AOL Content YEST,AOL Performance YEST,Keen Preroll YEST,Keen Content YEST,Keen Performance YEST,Variance Preroll YEST,Variance Content YEST
0,0,All,-,-,-,0.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-
16,beauty,QR,-,-,-,3474.0,163502.0,0.0212474465144,-,-,-,-,-,0.0,1.0,0.0,-,-
15,beauty,SB,-,-,-,911.0,239589.0,0.00380234484889,-,-,-,-,-,-,-,-,-,-
1,beauty,All,9086.0,405681.0,0.02239690791533249,4385.0,403091.0,0.010878436879,2.0720638540478906,1.0064253481223844,-,-,-,0.0,1.0,0.0,-,-
14,equality,SS,-,-,-,0.0,2.0,0.0,-,-,-,-,-,-,-,-,-,-
13,equality,SS2,-,-,-,0.0,1.0,0.0,-,-,-,-,-,-,-,-,-,-
2,equality,All,-,-,-,0.0,3.0,0.0,-,-,-,-,-,-,-,-,-,-
12,meaning,QR,-,-,-,143.0,5022.0,0.0284747112704,-,-,-,-,-,14.0,952.0,0.014705882352941176,-,-
11,meaning,SS,-,-,-,0.0,2.0,0.0,-,-,-,-,-,-,-,-,-,-
3,meaning,All,4014.0,4830.0,0.831055900621118,143.0,5025.0,0.0284577114428,28.06993006993007,0.9611940298507463,757.0,903.0,0.8383167220376523,14.0,952.0,0.014705882352941176,54.07142857142857,0.9485294117647058
10,rise,QR,-,-,-,357.0,5971.0,0.0597889800703,-,-,-,-,-,36.0,1148.0,0.0313588850174216,-,-
4,rise,All,4651.0,5724.0,0.8125436757512229,357.0,5971.0,0.0597889800703,13.028011204481793,0.9586333947412494,896.0,1090.0,0.8220183486238533,36.0,1148.0,0.0313588850174216,24.88888888888889,0.9494773519163763
9,stories,QR,-,-,-,1984.0,14306.0,0.138683070041,-,-,-,-,-,2.0,1679.0,0.0011911852293031567,-,-
6,stories,TP,-,-,-,3.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-
8,stories,SB,-,-,-,1588.0,33014.0,0.0481008057188,-,-,-,-,-,1.0,6785.0,0.00014738393515106854,-,-
7,stories,SS,-,-,-,5.0,13.0,0.384615384615,-,-,-,-,-,1.0,0.0,inf,-,-
5,stories,All,28256.0,47067.0,0.6003356916735717,3580.0,47336.0,0.0756295419976,7.892737430167598,0.9943172215649823,4.0,7984.0,0.000501002004008016,4.0,8464.0,0.0004725897920604915,1.0,0.943289224952741
